"Year","MA","Masculino","Femenino","Grand Total","Hmasculino","Hfemenino","No_Especificado","Grand Total"
1990,"Toluca",544491,552089,1096580,333,88,0,421
1991,"Toluca",556492,564265,1120757,347,81,0,428
1992,"Toluca",570644,578721,1149365,319,65,0,384
1993,"Toluca",586558,595116,1181674,396,104,0,500
1994,"Toluca",603682,613241,1216923,393,93,0,486
1995,"Toluca",621523,632955,1254478,320,69,2,391
1996,"Toluca",640634,653034,1293668,305,75,0,380
1997,"Toluca",659950,673706,1333656,301,80,1,382
1998,"Toluca",679295,694592,1373887,283,79,1,363
1999,"Toluca",698653,715490,1414143,283,66,1,350
2000,"Toluca",717835,735336,1453171,270,71,0,341
2001,"Toluca",737135,753142,1490277,216,54,0,270
2002,"Toluca",755752,770057,1525809,216,62,0,278
2003,"Toluca",773758,786333,1560091,242,51,0,293
2004,"Toluca",791624,802393,1594017,198,42,1,241
2005,"Toluca",807794,822082,1629876,243,63,1,307
2006,"Toluca",825654,839524,1665178,241,52,0,293
2007,"Toluca",844398,857882,1702280,129,32,0,161
1990,"Cd. Juarez",420871,412473,833344,42,4,,46
1991,"Cd. Juarez",436713,426341,863054,67,2,1,70
1992,"Cd. Juarez",454297,441811,896108,50,6,,56
1993,"Cd. Juarez",473121,458577,931698,89,9,,98
1994,"Cd. Juarez",492686,476297,968983,203,14,,217
1995,"Cd. Juarez",512598,494629,1007227,281,49,,330
1996,"Cd. Juarez",532739,512916,1045655,247,49,,296
1997,"Cd. Juarez",552390,530990,1083380,222,40,,262
1998,"Cd. Juarez",571259,548494,1119753,208,30,1,239
1999,"Cd. Juarez",589309,565084,1154393,141,17,,158
2000,"Cd. Juarez",606434,579913,1186347,226,30,,256
2001,"Cd. Juarez",621363,593722,1215085,219,34,,253
2002,"Cd. Juarez",634980,605976,1240956,234,33,,267
2003,"Cd. Juarez",647554,617093,1264647,169,28,,197
2004,"Cd. Juarez",659749,627573,1287322,191,17,,208
2005,"Cd. Juarez",676153,634149,1310302,197,30,,227
2006,"Cd. Juarez",689414,645450,1334864,204,14,,218
2007,"Cd. Juarez",702829,656958,1359787,178,19,,197
